cue,constant1,timestamp,stimulus_coherence,response_time,response,constant2
2.0,30.0,592217.958041458,85.0,0.9970642500557005,2.0,1.0
2.0,30.0,592218.80603025,95.0,0.9261376250069588,2.0,1.0
2.0,30.0,592219.645042041,100.0,0.852828957955353,1.0,1.0
2.0,30.0,592220.526038833,95.0,0.8213411249453202,1.0,1.0
2.0,30.0,592221.507028958,100.0,0.8857008329359815,1.0,1.0
2.0,30.0,592222.48802575,90.0,0.9047657920746133,1.0,1.0
2.0,30.0,592223.513026458,95.0,0.9055244169430807,2.0,1.0
2.0,30.0,592224.379007458,95.0,0.8569134579738602,1.0,1.0
2.0,30.0,592225.543014625,80.0,1.0658587089274079,2.0,1.0
2.0,30.0,592226.1770165,90.0,0.786755167064257,1.0,1.0
2.0,30.0,592227.005018416,80.0,0.6960104579338804,1.0,1.0
2.0,30.0,592228.12101325,100.0,0.8934174589812756,1.0,1.0
2.0,30.0,592228.933010166,90.0,0.7842790830181912,1.0,1.0
2.0,30.0,592230.061015166,85.0,0.9941713749431074,2.0,1.0
2.0,30.0,592230.624015333,75.0,0.6377736249705777,1.0,1.0
2.0,30.0,592231.918011208,85.0,1.0171842919662595,2.0,1.0
2.0,30.0,592232.576013708,90.0,0.7608919580234215,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592234.527997708,100.0,0.8658119579777122,1.0,1.0
2.0,30.0,592235.460995583,100.0,0.879606083035469,1.0,1.0
2.0,30.0,592236.388004625,95.0,0.8899442920228466,2.0,1.0
1.0,30.0,592237.300008833,95.0,0.8909594169817865,2.0,-1.0
2.0,30.0,592238.290991625,90.0,0.9756742090685293,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592239.990984958,95.0,0.845620125066489,1.0,1.0
2.0,30.0,592240.781987958,85.0,0.7139340420253575,1.0,1.0
2.0,30.0,592241.823977416,95.0,0.8422400410054252,1.0,1.0
2.0,30.0,592242.677980791,90.0,0.7746171249309555,1.0,1.0
2.0,30.0,592243.638979708,95.0,0.8159329579211771,1.0,1.0
2.0,30.0,592244.858972041,75.0,1.1207216660259292,2.0,1.0
2.0,30.0,592245.457967666,90.0,0.7993416659301147,1.0,1.0
2.0,30.0,592246.235972791,75.0,0.6628359159221873,1.0,1.0
2.0,30.0,592247.142978041,75.0,0.6521766659570858,1.0,1.0
2.0,30.0,592248.225971375,95.0,0.8120256250258535,1.0,1.0
2.0,30.0,592249.537963791,65.0,1.2050954160513356,2.0,1.0
2.0,30.0,592250.102970833,100.0,0.8516583750024438,1.0,1.0
2.0,30.0,592251.240958,80.0,1.0694454169133678,2.0,1.0
2.0,30.0,592251.915964625,95.0,0.8292064999695867,1.0,1.0
2.0,30.0,592252.731940458,85.0,0.7269065419677645,1.0,1.0
2.0,30.0,592253.92995525,85.0,1.0063784170197323,2.0,1.0
2.0,30.0,592254.548954541,80.0,0.7008925409754738,1.0,1.0
2.0,30.0,592255.711946541,90.0,0.9437967499252409,2.0,1.0
2.0,30.0,592256.488945666,90.0,0.8007485830457881,1.0,1.0
2.0,30.0,592257.397943875,90.0,0.7893530840519816,1.0,1.0
2.0,30.0,592258.3739305,100.0,0.8495692090364173,1.0,1.0
2.0,30.0,592259.069942833,75.0,0.6268371250480413,1.0,1.0
2.0,30.0,592260.144936458,90.0,0.7778755000326782,1.0,1.0
2.0,30.0,592260.942933333,75.0,0.6618337499676272,1.0,1.0
2.0,30.0,592261.833943,75.0,0.6354790839832276,1.0,1.0
2.0,30.0,592262.977931708,100.0,0.8578329170122743,1.0,1.0
2.0,30.0,592263.92693025,100.0,0.8815190839814022,1.0,1.0
2.0,30.0,592264.938919083,90.0,0.9727678330382332,2.0,1.0
2.0,30.0,592265.683924208,90.0,0.7959663750370964,1.0,1.0
2.0,30.0,592266.523933875,85.0,0.7186067500151694,1.0,1.0
2.0,30.0,592267.692910416,90.0,0.9649131250334904,2.0,1.0
2.0,30.0,592268.397922083,85.0,0.7424181250389665,1.0,1.0
1.0,30.0,592269.435919666,100.0,0.8591547079849988,1.0,-1.0
2.0,30.0,592270.084919458,70.0,0.5899509170558304,1.0,1.0
2.0,30.0,592270.989906416,70.0,0.5735085410997272,1.0,1.0
2.0,30.0,592272.200900166,100.0,0.8734925409080461,1.0,1.0
2.0,30.0,592273.029902666,90.0,0.7852674160385504,1.0,1.0
2.0,30.0,592273.8299065,75.0,0.6604834588943049,1.0,1.0
2.0,30.0,592274.710902416,75.0,0.6249315830646083,1.0,1.0
2.0,30.0,592275.735930083,85.0,0.7291154999984428,1.0,1.0
2.0,30.0,592276.690896375,90.0,0.7650322089903057,1.0,1.0
2.0,30.0,592277.535893625,80.0,0.6940468340180814,1.0,1.0
2.0,30.0,592278.815904208,80.0,1.0538740829797462,2.0,1.0
2.0,30.0,592279.459888625,90.0,0.7757412499049678,1.0,1.0
2.0,30.0,592280.431883708,95.0,0.8299552919343114,1.0,1.0
2.0,30.0,592281.111902625,70.0,0.5925212498987094,1.0,1.0
2.0,30.0,592282.183882083,85.0,0.7430882920743898,1.0,1.0
2.0,30.0,592283.349877791,85.0,0.9868037910200655,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592284.734889208,65.0,0.5369983329437673,1.0,1.0
2.0,30.0,592285.673877541,65.0,0.5560277500189841,1.0,1.0
2.0,30.0,592286.6168855,70.0,0.5832552920328453,1.0,1.0
2.0,30.0,592288.003885375,80.0,1.0483470419421792,2.0,1.0
2.0,30.0,592288.619867416,85.0,0.7438067499315366,1.0,1.0
2.0,30.0,592289.568871791,90.0,0.7738554159877822,1.0,1.0
2.0,30.0,592290.290869,70.0,0.5805313750170171,1.0,1.0
2.0,30.0,592291.35787825,85.0,0.7307530419202521,1.0,1.0
2.0,30.0,592292.231858625,80.0,0.6882332499371842,1.0,1.0
2.0,30.0,592293.351845208,95.0,0.8992893330287188,2.0,1.0
2.0,30.0,592294.0718555,80.0,0.6941329590044916,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592295.681832,55.0,0.4743999170605093,1.0,1.0
1.0,30.0,592296.493837416,45.0,0.36382245807908475,1.0,-1.0
2.0,30.0,592298.031861541,85.0,0.9898349159630015,2.0,1.0
2.0,30.0,592298.953829916,85.0,0.9955096659250557,2.0,1.0
2.0,30.0,592299.99583825,75.0,1.1139510000357404,2.0,1.0
2.0,30.0,592300.639842541,95.0,0.8333520829910412,1.0,1.0
2.0,30.0,592301.538848791,95.0,0.8103229580447078,1.0,1.0
2.0,30.0,592302.421838541,90.0,0.7727562499931082,1.0,1.0
2.0,30.0,592303.525827916,90.0,0.9516153750009835,2.0,1.0
2.0,30.0,592304.324834083,95.0,0.8325831670081243,1.0,1.0
2.0,30.0,592305.162830041,85.0,0.7449104160768911,1.0,1.0
2.0,30.0,592306.495822916,70.0,1.1525147500215098,2.0,1.0
2.0,30.0,592307.044821958,90.0,0.7824218750465661,1.0,1.0
2.0,30.0,592307.9118275,85.0,0.7319967090152204,1.0,1.0
2.0,30.0,592309.197822083,75.0,1.0966892499709502,2.0,1.0
2.0,30.0,592309.921818333,95.0,0.8996027919929475,2.0,1.0
2.0,30.0,592310.867814791,95.0,0.9231441660085693,2.0,1.0
2.0,30.0,592311.76581775,95.0,0.9047125419601798,2.0,1.0
2.0,30.0,592312.507808041,85.0,0.7258768329629675,1.0,1.0
2.0,30.0,592313.564815833,100.0,0.8575216250028461,1.0,1.0
2.0,30.0,592314.3208045,80.0,0.6948644170770422,1.0,1.0
2.0,30.0,592315.282800958,85.0,0.7429003330180421,1.0,1.0
2.0,30.0,592316.267802666,95.0,0.8142445830162615,1.0,1.0
2.0,30.0,592317.270807875,100.0,0.8959100419888273,1.0,1.0
2.0,30.0,592318.04379575,85.0,0.7409609169699252,1.0,1.0
2.0,30.0,592319.169805916,90.0,0.9440221660770476,2.0,1.0
2.0,30.0,592319.99178475,95.0,0.8491919999942183,1.0,1.0
2.0,30.0,592320.880796125,95.0,0.8154234590474516,1.0,1.0
2.0,30.0,592321.801794416,95.0,0.8178518750937656,1.0,1.0
2.0,30.0,592322.9067795,85.0,1.0107598749455065,2.0,1.0
1.0,30.0,592323.591758666,90.0,0.7758612909819931,1.0,-1.0
2.0,30.0,592324.486775166,90.0,0.7565384999616072,1.0,1.0
2.0,30.0,592325.278766833,75.0,0.6387382920365781,1.0,1.0
2.0,30.0,592326.184765416,75.0,0.6309238329995424,1.0,1.0
2.0,30.0,592327.381766958,95.0,0.9205691670067608,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592328.937749791,75.0,0.6513703329255804,1.0,1.0
2.0,30.0,592329.783749916,70.0,0.5831918329931796,1.0,1.0
2.0,30.0,592330.587754,55.0,0.4709776670206338,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592332.596740666,75.0,0.6536794579587877,1.0,1.0
2.0,30.0,592333.545738916,80.0,0.6891013330314308,1.0,1.0
2.0,30.0,592334.697737833,100.0,0.9255381670081988,1.0,1.0
2.0,30.0,592335.63373375,95.0,0.9292524589691311,2.0,1.0
2.0,30.0,592336.584733833,90.0,0.9641323329415172,2.0,1.0
2.0,30.0,592337.391729291,100.0,0.859197957906872,1.0,1.0
2.0,30.0,592338.14173675,80.0,0.6967258340446278,1.0,1.0
2.0,30.0,592338.979733375,75.0,0.6222019590204582,1.0,1.0
2.0,30.0,592340.089733583,95.0,0.8216795000480488,1.0,1.0
2.0,30.0,592341.042726666,100.0,0.8572612080024555,1.0,1.0
2.0,30.0,592342.316721833,60.0,1.2193513329839334,2.0,1.0
2.0,30.0,592342.839720958,95.0,0.8279445830266923,1.0,1.0
2.0,30.0,592343.589720166,80.0,0.6586569159990177,1.0,1.0
2.0,30.0,592344.7797155,90.0,0.9387759589590132,2.0,1.0
2.0,30.0,592345.696718916,90.0,0.9421399160055444,2.0,1.0
2.0,30.0,592346.485721708,95.0,0.8142414580797777,1.0,1.0
2.0,30.0,592347.429710291,100.0,0.8471492079552263,1.0,1.0
2.0,30.0,592348.3487025,100.0,0.8485080839600414,1.0,1.0
2.0,30.0,592349.334701791,95.0,0.9155157080385834,2.0,1.0
2.0,30.0,592350.382706541,80.0,1.0448589159641415,2.0,1.0
2.0,30.0,592351.084703791,95.0,0.8377214159118012,1.0,1.0
2.0,30.0,592352.241696625,75.0,1.0782414170680568,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,592353.922696458,90.0,0.9388213749043643,2.0,-1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592355.358695666,65.0,0.5513124999124557,1.0,1.0
2.0,30.0,592356.272689583,65.0,0.553284417022951,1.0,1.0
2.0,30.0,592357.210683208,70.0,0.5778559579048306,1.0,1.0
2.0,30.0,592358.120680125,70.0,0.5829087919555604,1.0,1.0
2.0,30.0,592359.207670916,90.0,0.7573403749847785,1.0,1.0
2.0,30.0,592360.358681791,85.0,0.9949489999562502,2.0,1.0
2.0,30.0,592361.3046805,85.0,1.0231058339122683,2.0,1.0
